Calvert  John Mitchinson
Mentioned In, URL
Letter 5.3085 [c. late February 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3085.html
Letter 5.3103 24 March 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3103.html
Letter 5.3150 12 June 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3150.html
Letter 5.3227 31 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3227.html
Letter 6.3462 5 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3462.html
Letter 6.3718 23 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3718.html
Letter 6.3769 21 December 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3769.html
Letter 7.4012 5 May 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4012.html
Letter 7.4221 21 July 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4221.html
Letter 7.4249 14 September 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4249.html
Letters To, URL
