"Spedding, John"
Mentioned In, URL
Letter 3.1062 27 April [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1062.html
Letter 3.1068 19 May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1068.html
Letter 3.1087 26 July 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1087.html
Letter 3.1101 2 September [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1101.html
Letter 3.1504 9 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1504.html
Letter 3.1523 19 October [1808] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1523.html
Letter 3.1537 19 November 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1537.html
Letter 3.1590 28 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1590.html
Letter 3.1600 14–15 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1600.html
Letter 4.2050 27 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2050.html
Letter 4.2169 2 November 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2169.html
Letter 4.2174 5 November 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2174.html
Letter 5.3227 31 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3227.html
Letter 6.3462 5 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3462.html
Letter 7.4310 [1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4310.html
Letters To, URL
Letter 4.1889.1 27 March 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1889.1.html
Letter 5.3192 12 September 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3192.html
