Fricker Family
Mentioned In, URL
Letter 1.103 7 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.109 [19 October 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.109.html
Letter 1.114 12 November 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.114.html
Letter 1.121 [9 January 1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.121.html
Letter 1.236 19 July 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.236.html
Letter 1.99 22 August–3 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.99.html
Letter 2.421 12 July 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.421.html
Letter 2.440 3 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.440.html
Letter 2.560 10 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.564 20[-24] January [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.573 28 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.573.html
Letter 2.653 [28 January 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.653.html
Letter 2.672 22 April [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.672.html
Letter 3.1326 25 May 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1326.html
Letter 3.1357 11 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1357.html
Letter 3.968 22 July [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.968.html
Letter 3.995 [started before and continued on 4 December 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.995.html
Letter 4.1805 12 September 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1805.html
Letter 4.1827 13 November 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1827.html
Letter 4.1910 23 April 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1910.html
Letter 4.2093 9 May 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2093.html
Letter 4.2268 14 June 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2268.html
Letter 4.2269 15 June 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2269.html
Letter 4.2274 28 June 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2274.html
Letter 4.2279 14 July 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2279.html
Letter 4.2383 27 February 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2383.html
Letter 4.2657 1 October 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2657.html
Letter 7.3940 24 December 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3940.html
Letter 7.4094 26 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
Letter 7.4097 30 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4097.html
Letters To, URL
Letter 7.4125 [c. 23 January 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4125.html
