Ponsonby  Sarah
Mentioned In, URL
Letter 2.607 [22] September 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.607.html
Letter 4.1947 4 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1947.html
Letter 4.1952 8 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1952.html
Letter 4.1958 27 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1958.html
Letter 4.1959 28 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1959.html
Letter 4.1972 24 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1972.html
Letter 6.3616 26 January 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3616.html
Letters To, URL
Letter 4.1965 13 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1965.html
